node_id,node_attr
1,"UTILIZES",47
1,"INCORPORATES",48
1,"PROMOTES",49
1,"FACILITATES",50
1,"PROMOTES",51
1,"CONTRIBUTES_TO",14
1,"SUPPORTS",52
1,"REDEFINES_STANDARDS",53
1,"AIMS_TO_CREATE",54
1,"HAS",65
65,"INCLUDES",55
55,"REQUIRES",56
55,"REQUIRES",57
58,"INVOLVES",5
58,"CONTEXT",59
5,"NEEDS",60
5,"NEEDS",61
58,"REQUIRED_FOR",62
58,"REQUIRED_FOR",63
58,"REQUIRED_FOR",64
72,"PROFESSOR",73
73,"INVOLVES",74
74,"DEAL_WITH",75
71,"RELATES_TO",75
1,"PROFESSIONAL",5
1,"TARGET",76
1,"CREATE",77
77,"UTILIZE",32
77,"UTILIZE",18
30,"COMPETITOR",1
33,"TEAM",1
79,"HIRE",1
33,"FOSTERS",80
81,"PRODUCES",83
82,"CONTRIBUTIONS",83
84,"INCREASES",83
85,"USE",91
91,"BASED_ON",92
93,"USES",94
94,"PROVIDES",95
100,"ENHANCES",101
90,"USES",99
90,"DEVELOP",100
96,"IN",97
96,"IN",22
96,"IN",23
96,"IN",98
100,"IMPROVES",101
101,"ATTRACTS",102
103,"RECEIVES",104
90,"INCORPORATES",105
105,"USES",107
105,"USES",108
106,"PROTECTS",107
106,"PROTECTS",108
106,"REINFORCES",110
110,"INTEGRATES",109
111,"CONQUER",112
113,"CONTRIBUTE",112
114,"CONTRIBUTED_TO",115
115,"ENABLES",117
1,"PRODUCES",118
1,"ENGAGES_WITH",119
118,"USES",122
118,"USES",10
118,"OPERATES_IN",35
35,"IN_COUNTRY",22
35,"IN_COUNTRY",23
35,"IN_COUNTRY",24
1,"USES",123
123,"TARGETS",84
118,"HAS_POTENTIAL",43
