node_id,node_attr,node_type
21,"Chunk_1: 'Justification of Objectives\n(limit 2000)\n\nGranter.ai's mission is to democratize and facilitate access to public funding. The presented\nproject involves the creation of an AI Agent to be used by specialists and businesses in\npreparing applications for funding opportunities. The AI Agent will incorporate highly\nsophisticated methodologies, including Generative Adversarial Networks (GANs) and\nAdversarial In-Context Learning (Adv-ICL), applied to the generation of specialized content.\nIts development involves an intensive process of applied research, with a strong focus on\nexperimentation, fine-tuning, and validation of linguistic models adapted to the specific\ndomain of public policies and public funds, aiming to create a new tool with direct impact on\nthe market.\nThe scalability of the solution is ensured by its modular structure, which will allow rapid\nadaptation to different national contexts. The final product is expected to be easily adapted\nto any market, language, or legal context. The digital nature of the AI Agent and its\ninfrastructure, which is expected to be highly adaptable, will allow the tool to easily adapt to\nany market by simply connecting to a database containing all relevant information. With the\nlaunch of this tool, Granter expects to enter markets like Spain, Italy, and the USA by the end\nof 2025, where the demand for public funding solutions is high.\nAdditionally, Granter.ai believes the AI Agent will have a significant indirect contribution to\nthe climate transition: by facilitating access to funding programs related to sustainability and\nthe green economy, it will boost business initiatives with a positive environmental impact.\nThus, this project represents a highly differentiated technological solution capable of\ngenerating impact in the economic ecosystem, both nationally and internationally.\n\nJustification for the Typology\n(limit 5000)\n\nTypology to be selected \u2013 Support for Startup or Growth\nGranter.ai is in an early stage of accelerated growth, which clearly justifies the project's\nclassification under \'Support for Startup or Growth.\' Having started operations in December\n2024, Granter.ai has already shown consistent signs of traction and scalability potential, with\na base of over 2,500 registered companies, more than 150 submitted applications, and a total\nvolume of over 20 million euros in funded projects. Additionally, the company raised\n400,000\u20ac in investment rounds and reports sustained quarterly growth of 45%. These\nindicators reflect a business model with strong market acceptance and clear expansion phase.\nAs part of its growth process, Granter.ai is currently developing the process for obtaining\nrecognition of competence by ANI, demonstrating the company's desire to be recognized as\na competent entity for R&D activities in its field.'","TextChunk"
22,"Specialists","Person"
23,"Public Funding","Concept"
24,"Funding Opportunities","Concept"
25,"Generative Adversarial Networks","Concept"
26,"Adversarial In-Context Learning","Concept"
27,"Linguistic Models","Concept"
28,"Public Policies","Concept"
29,"Public Funds","Concept"
30,"Market","Concept"
31,"National Contexts","Concept"
32,"Market Adaptation","Concept"
33,"Database","Concept"
34,"Spain","Location"
35,"Italy","Location"
36,"Usa","Location"
37,"Climate Transition","Concept"
38,"Sustainability","Concept"
39,"Green Economy","Concept"
40,"Business Initiatives","Concept"
41,"Economic Ecosystem","Concept"
42,"Typology Support For Startup Or Growth","Concept"
43,"Early Stage Of Growth","Concept"
44,"December 2024","Date"
45,"Registered Companies","Concept"
46,"Applications Submitted","Concept"
47,"Funded Projects","Concept"
48,"Investment Rounds","Concept"
49,"€400,000","Amount"
50,"Quarterly Growth","Concept"
51,"Recognition Of Competence","Concept"
52,"Ani","Organization"
53,"Chunk_2: 'The proposed project is unequivocally aligned with the company's growth support, as it aims\nto develop and consolidate an innovative digital product with a strong technological\nfoundation: an AI Agent for use by businesses in identifying and preparing applications for\npublic funds. This new product represents a qualitative leap in Granter.ai's value proposition\nand is critical to strengthening its competitive position in both the national and international\nmarkets, such as Spain, Italy, and the USA.\nThis project will be entirely developed with internal company resources, with plans to further\nstrengthen the team with a highly qualified new member. Developing the tool internally\ndemonstrates the company's commitment to producing proprietary software. Its\nimplementation requires the mobilization of advanced technical knowledge, with a strong\ncomponent of applied research and experimental development. The use of methodologies\nsuch as Generative Adversarial Networks (GANs) and Adversarial In-Context Learning (AdvICL) adds significant technological complexity to the project. This technological effort is\naimed at creating a robust, intuitive, and highly effective solution that meets the specific\nneeds of users.\nThe nature of the project - focused on the development of a digital solution with the potential\nto transform the sector - aligns with the company's growth objectives. The creation of the AI\nAgent will allow Granter.ai to consolidate its position in the public funding application sector\nand diversify its service offering, increasing its responsiveness to new markets and\ngenerating new revenue streams through a scalable licensing model. It is expected to be\navailable in different languages and adapted to the legal and operational frameworks of other\ncountries, which reinforces its replicability and the solution's internationalization potential.\nThe choice of the \'Support for Startup or Growth\' typology is even more relevant considering\nthat this product will be the strategic engine for the company's future growth. It is a central\nelement in Granter.ai's medium- and long-term vision, and it is also essential for fulfilling the\ncompany's mission, which is to democratize and facilitate access to public funding\nopportunities. This project is not just another tool - it is the catalyst for a new phase of\nexpansion, enabling the leveraging of already developed competencies and opening the door\nfor new applications and partnerships.\nTherefore, the \'Support for Startup or Growth\' typology is considered the best fit to reflect\nthe nature, objectives, and ambition of this project, being the necessary lever to consolidate\nGranter.ai's competitive position and accelerate its sustainable and innovative growth\ntrajectory.\n\n\fRelevance of the Project to the Measure\u2019s Objectives by Presenting an\nInnovative Business Model, Product, or Service with String Digital or\nTechnological Components and Scalability Potential\n(limit 5000)'","TextChunk"
54,"Company","Person"
55,"Markets","Person"
56,"Team","Person"
57,"New Member","Person"
58,"Software","Person"
59,"Technologies","Person"
60,"Advicl","Person"
61,"Solution","Person"
62,"Sector","Person"
63,"Growth Objectives","Person"
64,"Public Funding Application Sector","Person"
65,"Service Offering","Person"
66,"Markets Responsiveness","Person"
67,"Revenue Streams","Person"
68,"Licensing Model","Person"
69,"Languages","Person"
70,"Legal Frameworks","Person"
71,"Operational Frameworks","Person"
72,"Internationalization","Person"
73,"Chunk_3: 'Granter.ai presents a project that fully meets the objectives of the measure by developing a\ndigital product with a strong technological component and high scalability potential. This is\nthe first AI Agent specifically designed to support businesses in identifying, planning,\nmonitoring, and submitting public funding applications. This solution represents a significant\nadvance in terms of innovation and digital transformation in the sector, characterized as a\nhighly specialized, technologically sophisticated, and unique product in the market.\nThe project proposes the creation of proprietary software, developed entirely with internal\nresources, which combines several AI-based functionalities, with an emphasis on the\nautomatic and personalized generation of applications. The design of this project was\nconceived to integrate the latest trends in artificial intelligence, adapting them to the concrete\npractice of public funding. The tool combines methodologies such as Generative Adversarial\nNetworks (GANs) and Adversarial In-Context Learning (Adv-ICL), allowing the generation of\noptimized content aligned with the specific criteria of each funding notice. This approach\nensures not only innovation in the final product but also in the development methodology,\nwith a clear emphasis on R&D and technological knowledge transfer to the market.\nThe functionalities of the AI Agent cover all stages of the application process: from identifying\nopportunities, analyzing eligibility, and drafting the application, to evaluating, automating\nsubmission, and managing projects after approval. This comprehensive approach provides\nthe tool with added value, with a direct impact on the efficiency and effectiveness of the\naccess to funding process.\nThe project's relevance is also evident in its ability to address a real and growing need in the\nbusiness ecosystem: effective access to public funding mechanisms. Through the automation\nand simplification of highly complex processes, Granter.ai's AI Agent will increase the\nproductivity of specialists and businesses, reduce errors and inefficiencies, and improve the\nsuccess rate of applications. At the same time, it introduces a strategic support logic, helping\nusers better align their projects with the objectives and priorities of the European Union,\nwhich will increase the structural quality of the submitted proposals.\nThis new product will be designed to respond to a variety of contexts and user profiles,\nincorporating a modular and scalable architecture that allows the solution to be easily\nadapted to different markets and languages. The very development logic aims at international\nreplicability, with identified markets such as Spain, Italy, and the USA for Granter.ai's initial\nexpansion. Scalability is also ensured by the proposed business model, based on an annual\nsubscription strategy somewhat similar to that used in SaaS (Software as a Service) business'","TextChunk"
74,"Project","Concept"
75,"Digital Product","Concept"
76,"Innovation","Concept"
77,"Digital Transformation","Concept"
78,"Internal Resources","Concept"
79,"Ai-Based Functionalities","Concept"
80,"Automatic Generation Of Applications","Concept"
81,"Latest Trends In Artificial Intelligence","Concept"
82,"Generative Adversarial Networks (Gans)","Concept"
83,"Adversarial In-Context Learning (Adv-Icl)","Concept"
84,"Optimized Content Generation","Concept"
85,"Funding Notice Criteria","Concept"
86,"Development Methodology","Concept"
87,"R&D","Concept"
88,"Technological Knowledge Transfer","Concept"
89,"Application Process Stages","Concept"
90,"Opportunities Identification","Concept"
91,"Eligibility Analysis","Concept"
92,"Application Drafting","Concept"
93,"Application Evaluation","Concept"
94,"Automated Submission","Concept"
95,"Project Management After Approval","Concept"
96,"Efficiency And Effectiveness","Concept"
97,"Public Funding Mechanisms","Concept"
98,"Automation And Simplification","Concept"
99,"Specialists And Businesses","Person"
100,"Application Success Rate","Concept"
101,"Strategic Support Logic","Concept"
102,"Project Alignment With Eu Objectives","Concept"
103,"Structural Quality Of Proposals","Concept"
104,"User Profiles","Concept"
105,"Modular And Scalable Architecture","Concept"
106,"International Replicability","Concept"
107,"Markets (Spain, Italy, Usa)","Concept"
108,"Initial Expansion","Concept"
109,"Business Model","Concept"
110,"Annual Subscription Strategy","Concept"
111,"Saas Business Model","Concept"
112,"Chunk_4: 'models, with different access levels depending on each individual or business needs.'","TextChunk"
113,"Models","Databasetable"
114,"Access Levels","Databasetable"
115,"Individual","Person"
116,"Business","Organization"
117,"Chunk_5: 'Granter.ai's proposal also has a strategic dimension within the context of the digital transition\npromoted by the PRR. By providing businesses with a tool that combines artificial\nintelligence, automation, and usability, the project directly contributes to the \'Companies\n4.0\' measure's objectives, promoting business model modernization, technological\nempowerment of the business fabric, and the spread of intelligent digital solutions.\nAdditionally, it is expected that there will be a positive, albeit indirect, impact on promoting\neco-innovation and digital transformation: by facilitating access to funding in programs\nrelated to sustainability, efficiency, and the green economy, Granter.ai can enhance more\nsustainable business practices, promote eco-efficiency, and encourage the emergence of new\ntechnology-based business models.\nThe project's relevance is further reinforced by the strategic vision behind it. The AI Agent\nrepresents a new growth axis for the company, but also a differentiated value proposition for\nthe market, with the capacity to redefine efficiency and quality standards in public funding\nconsultancy. This project positions Granter.ai as a technology-driven, innovative company\ncapable of leading a paradigm shift, both in Portugal and across the European Union.\nThe presented project fully meets the objectives of the measure by proposing the\ndevelopment of a product with a solid technological foundation and high scalability potential.\nGranter.ai's proposal is a clear example of how digitalization and artificial intelligence can be\nstrategically applied to generate added value and accelerate the growth of tech startups.\n\nImplementation Capacity of the Beneficiaries through a Management\nTeam with Adequate Technological and Management Skills for Business\nModel Development\n(limit 5000)'","TextChunk"
118,"Prr","Person"
119,"Companies 4.0","Geographiccriterion"
120,"Digital Transition","Geographiccriterion"
121,"Automation","Person"
122,"Usability","Person"
123,"Business Model Modernization","Geographiccriterion"
124,"Technological Empowerment","Person"
125,"Digital Solutions","Person"
126,"Eco-Innovation","Person"
127,"Funding Programs","Person"
128,"Efficiency","Person"
129,"Business Practices","Person"
130,"Eco-Efficiency","Person"
131,"Technology-Based Business Models","Person"
132,"Public Funding Consultancy","Person"
133,"Portugal","Geographiccriterion"
134,"European Union","Geographiccriterion"
135,"Product Development","Person"
136,"Technological Foundation","Person"
137,"Scalability Potential","Person"
138,"Digitalization","Person"
139,"Growth Of Tech Startups","Person"
140,"Beneficiaries","Person"
141,"Management Team","Person"
142,"Chunk_6: 'Granter.ai brings together a highly qualified management team, with technical and\nmanagerial skills fully suitable for the development and implementation of the proposed\nproject. The execution of this project \u2013 the development of an AI Agent in the context of public\nfunds \u2013 requires a wide range of capabilities in artificial intelligence, software engineering,\nstrategic leadership, product management, and commercial expansion. The founding team of\nGranter.ai ensures the presence of all these skills, with roles clearly distributed and aligned\nwith the project's objectives.\nThe project leadership is under the responsibility of Duarte Gomes, CEO and founder of the\ncompany, who brings a solid experience in business creation and scalability. He was part of\nthe initial Uber Eats team in Portugal and founded three startups, accumulating over eight\nyears of experience in B2B sales and team management. His role in this project focuses on\ndefining the overall strategy, managing operations, and leading the international growth of\nthe solution. His practical experience with clients and positioning complex digital solutions\nin the market ensures the commercial and strategic direction of the project.'","TextChunk"
143,"Duarte Gomes","Person"
144,"Uber Eats Team In Portugal","Organization"
145,"Startups Founded By Duarte Gomes","Organization"
146,"Skills","Concept"
147,"Software Engineering","Concept"
148,"Strategic Leadership","Concept"
149,"Product Management","Concept"
150,"Commercial Expansion","Concept"
151,"Business Creation","Concept"
152,"Scalability","Concept"
153,"Clients","Person"
154,"Market Positioning","Concept"
155,"Chunk_7: 'The technological aspect is led by Joel Rodrigues, co-founder and CTO of Granter.ai, with more\nthan a decade of experience as Chief Technology Officer in various startups and scale-ups. He\nwas also Head of Incubation at Demium in Portugal and CTO of GoParity, accumulating\nexpertise in team management, system architecture, and digital product development. Within\nthis project, Joel Rodrigues will be responsible for the technical planning and execution of the\nsolution, leading the technological definition, the selection of AI approaches to be adopted\n(including GANs and Adv-ICL), and overseeing the development of the proprietary software.\nComplementing the operational management structure, Luis Batista, Head of Operations,\nplays a key role in improving the technical output obtained through the AI Agent. With four\nyears of experience in management and operational leadership, including working with\nmultinational companies across three continents, Luis Batista will be responsible for the\ntechnical execution of the project, as well as building and validating the different databases\nrequired. His previous experience as an international expansion consultant is an important\nasset for ensuring an efficient and results-oriented implementation.\nOn the technical side, the project also includes Ricardo Moreira, Tech Lead at Granter.ai. With\nfour years of experience in software development, he was previously CTO of an HR Tech\nstartup and worked at Siemens in networking and cybersecurity. Ricardo will be responsible\nfor the practical implementation of the AI Agent's features, the integration of AI models, and\napplying best practices for secure and scalable development. His experience in complex\nbusiness environments adds robustness to the project.\nFinally, the go-to-market and commercialization component will be led by Rodrigo Mendes,\nHead of Sales, with over seven years of experience in sales and strategic marketing. His\nprofessional experience includes companies like Otovo and Too Good To Go, and his role in\nthe project will be to ensure market penetration both nationally and internationally, leading\nuser acquisition strategies and defining licensing packages. His experience in communicating\ntechnological value propositions to different market segments is essential for ensuring the\nproject's commercial success.\nThis team combines technical know-how with a deep understanding of digital markets,\nallowing Granter.ai to internally gather all the necessary skills for the project's execution. The\nteam is agile, multidisciplinary, and highly motivated, with a proven track record of effective\ncollaboration and achieving ambitious goals in short periods. The existence of a core team\nwith proven experience in creating and implementing digital products provides a solid\nfoundation for the execution of the project.\nAdditionally, the project will be strengthened with the hiring of a front-end developer'","TextChunk"
156,"Joel Rodrigues","Person"
157,"Demium","Person"
158,"Goparity","Person"
159,"Luis Batista","Person"
160,"Ricardo Moreira","Person"
161,"Rodrigo Mendes","Person"
162,"Otovo","Person"
163,"Too Good To Go","Person"
164,"Front-End Developer","Person"
165,"Ai Approaches","Concept"
166,"Databases","Concept"
167,"Digital Markets","Concept"
168,"Digital Products","Concept"
169,"Chunk_8: 'specializing in artificial intelligence, who will be crucial for creating the tool, ensuring it\nremains intuitive. This hire is essential to ensure the project's technical demands are met.\nIn summary, Granter.ai's team is fully aligned with the project's requirements, both at the\nstrategic leadership level and in technical and commercial execution. The complementarity\nbetween the team members, combined with their previous experience and demonstrated'","TextChunk"
170,"Tool Creation","Project"
171,"Technical Execution","Person"
172,"Commercial Execution","Person"
173,"Team Members","Person"
174,"Chunk_9: 'execution capacity, ensures the AI Agent's successful implementation, making a meaningful\ncontribution to the measure's objectives and the company's sustainable growth.\n\nImpact of the Project on the Competitiveness of the Beneficiaries through\nthe Project\u2019s Contribution to Differentiation in the Market\n(limit 5000)'","TextChunk"
175,"Execution Capacity","Concept"
176,"Measure'S Objectives","Concept"
177,"Company'S Sustainable Growth","Concept"
178,"Market Differentiation","Concept"
179,"Chunk_10: 'The project presented by Granter.ai will have a profound impact on its competitiveness,\ngiving it a differentiating position in the market for technological solutions applied to\nconsultancy. By creating an AI Agent dedicated to preparing applications for community\nfunds, the company places itself at the forefront of digital transformation in the sector,\noffering a technologically robust and highly practical solution.\nGranter.ai's differentiation from the competition lies in the unique value proposition of the\nproject: providing an intelligent digital tool capable of automating and optimizing every stage\nof the application process, from identifying the opportunity to final submission. This end-toend approach, combined with the application of advanced methodologies such as GANs and\nAdv-ICL, enables the provision of an unparalleled, highly personalized service, with\nsignificant time, efficiency, and quality gains.\nWhile most solutions currently available in the market are limited to providing databases or\ngeneric application models, Granter.ai's tool will position itself as an intelligent and\ninteractive platform, capable of understanding the profile and objectives of each user and\ngenerating optimized content aligned with the specific requirements of each funding\nopportunity. This dynamic adaptability, combined with an intuitive and functional interface,\ncreates a clear differentiating factor that increases customer retention and satisfaction.\nThe project's impact also extends to the experience of end-users, who will have access to a\nsolution that simplifies complex processes and enhances the strategic quality of the\napplications submitted. The tool will support users in structuring their proposals, promoting\nalignment with the European Union's goals and objectives, which will, in turn, increase the\nchances of approval and funding. This strategic support capability, powered by artificial\nintelligence, positions Granter.ai as a key partner in the success of its clients.\nThe technological innovation embedded in the tool also translates into a new business\nproposition for the company. The monetization model proposed is based on an annual\nsubscription strategy, with different levels of access depending on the needs of each user.\nThis model ensures the project's financial sustainability and scalability, allowing Granter.ai\nto adapt the offering to the needs of different markets and target audiences.\nThe company's commercial strategy includes, initially, consolidating its presence in Portugal,\nleveraging the network of over 2,500 companies already registered on Granter.ai's old\nplatform, and rapidly expanding into Spain, Italy, and the USA. These countries have been'","TextChunk"
180,"Technological Solutions","Concept"
181,"Applications For Community Funds","Concept"
182,"Differentiating Position","Concept"
183,"Value Proposition","Concept"
184,"Digital Tool","Concept"
185,"Application Process","Concept"
186,"Personalized Service","Concept"
187,"Market Solutions","Concept"
188,"Interactive Platform","Concept"
189,"User Profile","Concept"
190,"Funding Opportunity","Concept"
191,"Adaptability","Concept"
192,"Interface","Concept"
193,"Customer Retention","Concept"
194,"End-Users","Person"
195,"Application Structuring","Concept"
196,"Application Approval","Concept"
197,"Funding","Concept"
198,"Business Proposition","Concept"
199,"Monetization Model","Concept"
200,"Subscription Strategy","Concept"
201,"Market Needs","Concept"
202,"Target Audiences","Concept"
203,"Company Network","Person"
204,"Chunk_11: 'identified based on their high demand for public funding and the existence of favorable\nregulatory contexts for the adoption of innovative digital tools. The AI Agent's ability to\noperate in different languages and adapt to various legal frameworks enhances its\ncompetitive and internationalization potential.\nStrategically, the project will allow Granter.ai to develop a scalable digital product with\nmarket leadership potential. This new positioning will enable the company to attract new\ncustomer profiles, strengthen brand awareness, and attract strategic investment,\nconsolidating the company's sustainable growth. Technological differentiation, combined\nwith a user-centered approach and an international market logic, constitutes a key factor in\nbuilding lasting competitive advantages.\nIt is also important to highlight the intellectual property component associated with the\nsoftware development \u2013 including the protection of proprietary methodologies and\nalgorithms \u2013 which strengthens the company's position in the innovation ecosystem,\nensuring the valuation of the assets created and their protection against potential\ncompetitors. This dimension of innovation protection is essential to ensure the competitive\nadvantage in the medium and long term.\nIn summary, the project's impact on Granter.ai's competitiveness will be manifold: it will\nenable the company to stand out technologically in its sector, offer a high-value-added\nproduct based on AI, access new markets through a scalable business model, and position\nitself as a leader in digital support for accessing European funding. Granter.ai believes the\nproject will lead to a revolution in the European funding consultancy landscape, and\nGranter.ai will undoubtedly be the catalyst for this change. This project represents a\nstrengthening of the company's operational capacity and a strategic transformation of its\nmarket position, aligned with the goals of the digital economy and innovation.\n\nJustification \u2013 Number of Products or Services with Strong\nDigital/Technological Components with Scalability Potential (Fill Only if\nGeneral Allocation Typology Has Been Selected)\n(limit 2000)'","TextChunk"
205,"Market Leadership","Person"
206,"Brand Awareness","Person"
207,"Strategic Investment","Person"
208,"Competitive Advantage","Person"
209,"Intellectual Property","Person"
210,"Software Development","Databasetable"
211,"Proprietary Methodologies","Person"
212,"Algorithms","Person"
213,"Innovation Ecosystem","Person"
214,"Assets","Person"
215,"European Funding","Person"
216,"European Funding Consultancy Landscape","Person"
217,"Digital Economy","Person"
218,"Chunk_12: 'Granter.ai's project proposes the development of a product \u2013 an Artificial Intelligence (AI)\nAgent for businesses \u2013 an innovative digital solution with a strong technological component,\ndesigned to automate and optimize the entire process of preparing applications for public\nfunds. This product is an end-to-end solution that integrates the latest AI methodologies, such\nas Generative Adversarial Networks (GANs) and Adversarial In-Context Learning (Adv-ICL),\nenabling the automatic generation of personalized content aligned with the specific\nrequirements of each funding opportunity.\nThe scalability of the product will be ensured by its modular and flexible architecture,\nallowing rapid adaptation to different international markets, built on a solid foundation using\nadvanced technology. The tool is designed to operate in multiple languages and integrate\n\n\fefficiently into the legal frameworks of each country by connecting to various databases, with\nthe goal of expanding into strategic markets such as Spain, Italy, and the USA.\nMoreover, the adopted business model \u2013 based on an annual subscription strategy \u2013 ensures\nthe product's financial scalability, allowing Granter.ai to adapt the offering based on the needs\nof different customer segments. This model enables continuous expansion of the customer\nbase and guarantees sustainable product growth, with high commercial success prospects.\nTherefore, Granter.ai's AI Agent will be a digital product with strong scalability potential, not\nonly in terms of customer base growth but also in its capacity to adapt to different markets\nand needs, offering a differentiated, high-value solution to specialists and businesses in the\npublic funding sector.\n\n\fTabela de Investimentos (AI Proposal)\nExpense category\n\nBudget allocated\n\nDetails\n\nAnswers\n\nCosts with Human\nResources\n\n20,000\u20ac\n\nNumber of new\nhires\n\nBased on\nGranter.ai's focus on\ninternal\ndevelopment and\ngiven the current\nteam composition,\nwe may anticipate\nthe hiring of 2-3\nnew software\ndevelopers to assist\nin this project.\n\nExpenses with\ntechnological\naccreditation of\nHuman Resources\n\n5,000\u20ac\n\nName of the\nplanned\ncertifications\n\nConsidering the\nproject's focus on AI\ntechnology and the\ncomplexity of grantwriting processes,\nwe propose to\ncertify the team in\nAdvanced AI\ncourses, and\npotentially in\nspecialized grant\napplication\nprocedure courses.\n\nExpenses with\nExternal Services\n\n4,000\u20ac\n\nTypes of external\nservices planned\n\nEven though\nGranter.ai is focused\non internal\ndevelopment, we\nanticipate the need\nfor some external\nservices. These\ncould include\nspecialized legal\nadvice related to\npatent application\nand external\nsecurity audits for\n\n\fthe developed\nsoftware.\nExpenses with the\nacquisition or\nrenting of\nequipment\n\n5,000\u20ac\n\nName of the\nplanned\nacquisitions'","TextChunk"
219,"Ai Methodologies","Concept"
220,"Public Funds Application Process","Concept"
221,"International Markets","Concept"
222,"Customer Segments","Concept"
223,"Product Growth","Concept"
224,"Public Funding Sector","Concept"
225,"Database Connections","Concept"
226,"Software Developers","Person"
227,"Ai Certifications","Concept"
228,"Grantwriting Processes","Concept"
229,"External Legal Advice","Concept"
230,"Security Audits","Concept"
231,"Equipment Acquisitions","Concept"
232,"Chunk_13: '5,000\u20ac\n\nName of the\nplanned\nacquisitions\n\nThis line includes\nexpenses with\npersonal computers\nfor the new hires\nand potential\nsoftware\nsubscriptions\nnecessary for the\nproject\ndevelopment, like\ncloud storage or\nspecialized AI\ndevelopment\ntools/subscriptions.\n\nExpenses with the\nprotection of\nintellectual\nproperty\n\n11,000\u20ac\n\nIntellectual\nproperty rights\n\nGiven the unique,\nproprietary nature\nof the software\nbeing developed, a\nlarge portion of the\nbudget will be\nallocated towards\npatent-related\nexpenses, legal fees\nand advice to\nensure the\nprotection of\nintellectual\nproperty.'","TextChunk"
233,"Planned Acquisitions","Opportunity"
234,"Expenses With Personal Computers","Grant"
235,"Expenses With Software Subscriptions","Grant"
236,"Expenses With Intellectual Property Protection","Grant"
237,"Intellectual Property Rights","Grant"
238,"Software Being Developed","Opportunity"
239,"Patent-Related Expenses","Grant"
240,"Legal Fees And Advice","Grant"
241,"Budget For Intellectual Property","Grant"

src,edge_attr,dst,is_chunk_relation
1,"CONTAINS_ENTITY",2,1
1,"CONTAINS_ENTITY",3,1
1,"CONTAINS_ENTITY",4,1
1,"CONTAINS_ENTITY",5,1
1,"CONTAINS_ENTITY",6,1
1,"CONTAINS_ENTITY",7,1
1,"CONTAINS_ENTITY",8,1
1,"CONTAINS_ENTITY",9,1
1,"CONTAINS_ENTITY",10,1
1,"CONTAINS_ENTITY",11,1
1,"CONTAINS_ENTITY",12,1
1,"CONTAINS_ENTITY",13,1
1,"CONTAINS_ENTITY",14,1
1,"CONTAINS_ENTITY",15,1
1,"CONTAINS_ENTITY",16,1
1,"CONTAINS_ENTITY",17,1
1,"CONTAINS_ENTITY",18,1
1,"CONTAINS_ENTITY",19,1
1,"CONTAINS_ENTITY",20,1
2,"PROFESSOR",3,0
2,"FOCUSESON",10,0
2,"SPECIALIZESIN",4,0
3,"BASEDON",5,0
3,"USESMETHODOLOGY",6,0
3,"USESMETHODOLOGY",7,0
8,"DEVELOPEDBY",3,0
8,"ALIGNSWITH",9,0
10,"AIMSTO",11,0
12,"DESIGNEDFOR",14,0
12,"USEDBY",13,0
12,"APPLIEDTO",23,0
14,"RELATEDTO",11,0
15,"IMPROVES",16,0
15,"DRIVES",17,0
18,"ENABLES",19,0
20,"INDICATESPOTENTIAL",16,0
21,"CONTAINS_ENTITY",2,1
21,"CONTAINS_ENTITY",12,1
21,"CONTAINS_ENTITY",22,1
21,"CONTAINS_ENTITY",13,1
21,"CONTAINS_ENTITY",23,1
21,"CONTAINS_ENTITY",24,1
21,"CONTAINS_ENTITY",25,1
21,"CONTAINS_ENTITY",26,1
21,"CONTAINS_ENTITY",27,1
21,"CONTAINS_ENTITY",28,1
21,"CONTAINS_ENTITY",29,1
21,"CONTAINS_ENTITY",30,1
21,"CONTAINS_ENTITY",31,1
21,"CONTAINS_ENTITY",32,1
21,"CONTAINS_ENTITY",33,1
21,"CONTAINS_ENTITY",34,1
21,"CONTAINS_ENTITY",35,1
21,"CONTAINS_ENTITY",36,1
21,"CONTAINS_ENTITY",37,1
21,"CONTAINS_ENTITY",38,1
21,"CONTAINS_ENTITY",39,1
21,"CONTAINS_ENTITY",40,1
21,"CONTAINS_ENTITY",41,1
21,"CONTAINS_ENTITY",42,1
21,"CONTAINS_ENTITY",43,1
21,"CONTAINS_ENTITY",44,1
21,"CONTAINS_ENTITY",45,1
21,"CONTAINS_ENTITY",46,1
21,"CONTAINS_ENTITY",47,1
21,"CONTAINS_ENTITY",48,1
21,"CONTAINS_ENTITY",49,1
21,"CONTAINS_ENTITY",50,1
21,"CONTAINS_ENTITY",51,1
21,"CONTAINS_ENTITY",52,1
2,"PROFESSOR",12,0
12,"USEDBY",22,0
12,"FACILITATES",23,0
12,"TARGETS",24,0
12,"INCORPORATES",25,0
12,"INCORPORATES",26,0
27,"ADAPTEDTO",28,0
27,"ADAPTEDTO",29,0
12,"IMPACTON",30,0
12,"MODULARLYADAPTSTO",31,0
12,"CONNECTSTO",33,0
12,"ENTERMARKETIN",34,0
12,"ENTERMARKETIN",35,0
12,"ENTERMARKETIN",36,0
