object,relation,subject
Allocation,has,MAR2030 -2023 -22
Program Mar 2030,has,Allocation
Program Priority,has,Program Mar 2030
"2 - Promote sustainable aquaculture activities and the processing and marketing of fishery and aquaculture products, thereby contributing to the Union's food security",has,Program Priority
Specific objectives,has,MAR2030 -2023 -22
"FSO2.2 - Promote the marketing, quality, and added value of fishery and aquaculture products, as well as the processing of these products",has,Specific objectives
Type of action,has,MAR2030 -2023 -22
FSO2.2 -01-Productive investments in processing,has,Type of action
Type of intervention,has,MAR2030 -2023 -22
"FSO2.2.02 - Investments in energy efficiency, the circular economy, digitization, and internationalization",has,Type of intervention
Type of operation,has,MAR2030 -2023 -22
8503 - Investment in reducing energy consumption and energy efficiency,has,Type of operation
8504 - Investment in renewable energy systems,has,MAR2030 -2023 -22
"8515 – Investments to support business development (strategy development, administration, equipment)",has,MAR2030 -2023 -22
8517 - Development of commercial innovation,has,MAR2030 -2023 -22
8518 - Development of process innovation,has,MAR2030 -2023 -22
8519 - Development of product innovation,has,MAR2030 -2023 -22
8510 – Use of unwanted catches,has,MAR2030 -2023 -22
8548 – Water consumption and water quality improvement,has,MAR2030 -2023 -22
"8512 - Food quality, safety, and hygiene",has,MAR2030 -2023 -22
8546 - Marketing activities,has,MAR2030 -2023 -22
8513 - Investments in working conditions,has,MAR2030 -2023 -22
Fund,has,MAR2030 -2023 -22
Fund allocation,has,Fund
"€770,000 FEAMPA (*)",has,Fund allocation
Maximum rate,has,Fund allocation
100% (*),has,Maximum rate
National allocation,has,Fund allocation
"€330,000 Investment budget",has,National allocation
Overall allocation,has,MAR2030 -2023 -22
"€770,000",has,Overall allocation
"€330,000",has,Overall allocation
Framework in territorial instruments,has,MAR2030 -2023 -22
Not applicable,has,Framework in territorial instruments
National legislation,has,MAR2030 -2023 -22
Is it regulated by public policy or does it contribute to a National Agenda or Strategy?,has,National legislation
☐ No,has,National legislation
☒ Yes. Which one?,has,National legislation
The specific objectives pursued are shaped by the Common Fisheries Policy and/or the European Union's Integrated Maritime Policy,has,National legislation
Are there specific regulations?,has,MAR2030 -2023 -22
☐ No,has,Are there specific regulations?
☒ Yes. Which ones?,has,Are there specific regulations?
"Ordinance No. 559/2023, of July 25",has,Are there specific regulations?
Eligible actions,has,MAR2030 -2023 -22
"The actions provided for in Article 50 of Ordinance No. 559/2023, of July 25, are eligible for this notice:",has,Eligible actions
"a) Productive investments as well as investments that promote decarbonization, the use of renewable energies and energy efficiency, the circular economy, digitization, and internationalization, including those that:",has,"Article 50 of Ordinance No. 559/2023, of July 25"
i) Improve environmental and climate performance;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
ii) Strengthen food security;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
"iii) Promote the introduction of new species on the market, namely through the valorization of fish with lower commercial value;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
iv) Promote the processing of by-products resulting from the main processing activities;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
v) Promote the valorization of aquaculture products;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
"vi) Are innovative, promoted by companies or in co-promotion with universities or research centers, provided they are led by the company;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
"vii) Promote the use of renewable energy and improved energy performance, optimization of the use of water resources;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
"viii) Promote the use of bio-based, biodegradable, or recyclable packaging, or other initiatives that reduce the use of paper or plastic;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
ix) Contribute to the reduction of food waste through the introduction of innovative solutions in the processing and marketing of fish;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
b) Promotion of entrepreneurship through support for the creation and development of start-ups and spin-offs;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
"c) Investments in the certification and promotion of sustainable fisheries and aquaculture products, including the processes leading to the registration of trademarks or patents;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
d) Investments that reduce the impact of the activity on the environment;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
"e) Development of marketing and internationalization strategies, including promotional or prospecting and product development actions that are not part of actions organized by producers' associations and organizations;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
"f) Marketing innovation, involving the implementation of a new marketing method with significant changes in product design or packaging, or in its promotion and distribution;",has,"Article 50 of Ordinance No. 559/2023, of July 25"
g) Initiatives that promote consumption diversification through the processing of fishery products relating to more abundant species with lower commercial value;,has,"Article 50 of Ordinance No. 559/2023, of July 25"
h) Promotion of short distribution and marketing channels.,has,"Article 50 of Ordinance No. 559/2023, of July 25"
"Beneficiary entities (including recipients, where relevant)",has,MAR2030 -2023 -22
SMEs whose activity falls within the subclasses of the CAE provided for in paragraph 1 of Article 52 of Ordinance No. 559/2023 of July 25 may be beneficiaries of the support provided for in this notice:,has,"Beneficiary entities (including recipients, where relevant)"
a) 10201 “Preparation of fishery and aquaculture products”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
b) 10202 “Freezing of fishery and aquaculture products”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
c) 10203 “Preservation of fishery and aquaculture products in olive oil and other vegetable oils and other sauces”;,has,Article 52(1) of Ordinance No. 559/2023 of July 25
"d) 10204 “Salting, drying, and other processing of fishery and aquaculture products”;",has,Article 52(1) of Ordinance No. 559/2023 of July 25
"e) 10411 “Production of crude animal oils and fats, if related to fishery and aquaculture products”;",has,Article 52(1) of Ordinance No. 559/2023 of July 25
"f) 10850 “Manufacture of pre-cooked meals and dishes, if related to fishery and aquaculture products”.",has,Article 52(1) of Ordinance No. 559/2023 of July 25
Specific conditions or technical standards to be observed by beneficiaries or operations,has,MAR2030 -2023 -22
"With regard to beneficiaries, without prejudice to the eligibility criteria set out in Article 14 of Decree-Law No. 20-A/2023, of March 22, which establishes the general regime for the application of European funds in Portugal 2030 and the general criteria defined in Article 5 of Ordinance No. 559/2023, of July 25, the beneficiaries of this notice must also comply with the requirements set out in Article 53 of the same Ordinance.",has,Specific conditions or technical standards to be observed by beneficiaries or operations
"a) Hold SME status, based on certification from IAPMEI;",has,"Article 53 of Ordinance No. 559/2023, of July 25"
"b) Hold an installation permit, in the case of the construction of new establishments;",has,"Article 53 of Ordinance No. 559/2023, of July 25"
"c) Hold an operating license and veterinary control number, in the case of the modernization of existing establishments;",has,"Article 53 of Ordinance No. 559/2023, of July 25"
"d) Hold authorization for changes to establishments that require licensing, where applicable;",has,"Article 53 of Ordinance No. 559/2023, of July 25"
e) Present a balanced economic and financial situation.,has,"Article 53 of Ordinance No. 559/2023, of July 25"
"For this purpose, a balanced economic and financial situation is considered to exist when the pre-project financial autonomy is equal to or greater than 15%, based on the last financial year closed on the date of submission of the application.",has,"Article 53 of Ordinance No. 559/2023, of July 25"
